"CODIGO","CICLO","CLAVE_MATERIA","MATERIA","CALIFICACION","MODALIDAD"
"48","2019-B","I5892","MATEMATICA DISCRETA","100","ORDINARIO"
"48","2019-B","I6123","INTRODUCCION A LA FISICA","84","ORDINARIO"
"48","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","83","ORDINARIO"
"48","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","89","ORDINARIO"
"48","2020-A","I5886","ESTRUCTURAS DE DATOS I","89","ORDINARIO"
"48","2020-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"48","2020-A","I5915","TEORIA DE LA COMPUTACION","95","ORDINARIO"
"48","2020-A","I5895","METODOS MATEMATICOS II","97","ORDINARIO"
"48","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","74","ORDINARIO"
"48","2020-B","I5907","ADMINISTRACION DE REDES","87","ORDINARIO"
"48","2020-B","I5888","ESTRUCTURAS DE DATOS II","66","ORDINARIO"
"48","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","82","ORDINARIO"
"48","2020-B","I5884","ALGORITMIA","69","ORDINARIO"
"48","2021-A","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","96","ORDINARIO"
"48","2021-A","I5890","BASES DE DATOS","100","ORDINARIO"
"48","2021-A","I5898","INGENIERIA DE SOFTWARE I","96","ORDINARIO"
"48","2021-A","I5908","ADMINISTRACION DE SERVIDORES","85","ORDINARIO"
"48","2021-A","I5910","HIPERMEDIA","90","ORDINARIO"
"48","2021-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","96","ORDINARIO"
"48","2021-B","I5901","CONTROL DE PROYECTOS","95","ORDINARIO"
"48","2021-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","SD","ORDINARIO"
"48","2021-B","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"48","2022-A","I5911","MINERIA DE DATOS","85","ORDINARIO"
"48","2022-A","IL351","INNOVACION Y TECNOLOGIA","100","ORDINARIO"
"48","2022-A","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","SD","ORDINARIO"
"48","2022-A","I5900","INGENIERIA DE SOFTWARE II","88","ORDINARIO"
"48","2022-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","85","ORDINARIO"
"48","2022-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"48","2022-A","I5905","SEGURIDAD DE LA INFORMACION","93","ORDINARIO"
"48","2022-B","I5902","ADMINISTRACION DE BASES DE DATOS","89","ORDINARIO"
"48","2022-B","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"48","2022-B","ET340","TOPICOS DE INGENIERIA BIOMEDICA","100","ORDINARIO"
"48","2022-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","94","ORDINARIO"
"48","2023-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"48","2023-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"48","2023-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"48","2023-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"48","2023-A","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"48","2023-A","IL341","ETICA Y LEGISLACION","100","ORDINARIO"
"48","2023-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","98","ORDINARIO"
"49","2019-B","I6123","INTRODUCCION A LA FISICA","67","ORDINARIO"
"49","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","88","ORDINARIO"
"49","2019-B","I5892","MATEMATICA DISCRETA","60","ORDINARIO"
"49","2019-B","I5893","METODOS MATEMATICOS I","82","ORDINARIO"
"49","2019-B","I5882","PROGRAMACION","78","ORDINARIO"
"49","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","47","ORDINARIO"
"49","2020-A","I5915","TEORIA DE LA COMPUTACION","60","ORDINARIO"
"49","2020-A","I5895","METODOS MATEMATICOS II","73","ORDINARIO"
"49","2020-A","I5886","ESTRUCTURAS DE DATOS I","74","ORDINARIO"
"49","2020-A","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","80","ORDINARIO"
"49","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","60","ORDINARIO"
"49","2020-B","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","80","ORDINARIO"
"49","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","70","ORDINARIO"
"49","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","63","ORDINARIO"
"49","2020-B","I5907","ADMINISTRACION DE REDES","78","ORDINARIO"
"49","2021-A","I5910","HIPERMEDIA","100","ORDINARIO"
"49","2021-A","I5888","ESTRUCTURAS DE DATOS II","73","ORDINARIO"
"49","2021-A","I5898","INGENIERIA DE SOFTWARE I","SD","EXTRAORDINARIO"
"49","2021-A","I5898","INGENIERIA DE SOFTWARE I","SD","ORDINARIO"
"49","2021-B","I5898","INGENIERIA DE SOFTWARE I","SD","ORDINARIO"
"49","2021-B","I5898","INGENIERIA DE SOFTWARE I","SD","EXTRAORDINARIO"
"49","2021-B","I5890","BASES DE DATOS","89","ORDINARIO"
"49","2021-B","ET339","SEGURIDAD E INSTALACIONES HOSPITALARIAS","70","ORDINARIO"
"49","2021-B","I5901","CONTROL DE PROYECTOS","83","ORDINARIO"
"49","2021-B","I7587","CIRCUITOS ELECTRICOS","86","ORDINARIO"
"49","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"49","2022-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","88","ORDINARIO"
"49","2022-A","I5898","INGENIERIA DE SOFTWARE I","76","ORDINARIO"
"49","2022-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","80","ORDINARIO"
"49","2022-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","82","ORDINARIO"
"49","2022-B","I7292","SISTEMAS DE MEDICION","82","ORDINARIO"
"49","2022-B","IL351","INNOVACION Y TECNOLOGIA","74","ORDINARIO"
"49","2022-B","I5905","SEGURIDAD DE LA INFORMACION","79","ORDINARIO"
"49","2022-B","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","76","ORDINARIO"
"49","2022-B","I5909","PROGRAMACION PARA INTERNET","88","ORDINARIO"
"49","2022-B","I5911","MINERIA DE DATOS","75","ORDINARIO"
"49","2023-A","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","75","ORDINARIO"
"49","2023-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","63","ORDINARIO"
"49","2023-A","I5900","INGENIERIA DE SOFTWARE II","90","ORDINARIO"
"49","2023-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","98","ORDINARIO"
"49","2023-B","I5908","ADMINISTRACION DE SERVIDORES","66","ORDINARIO"
"49","2023-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","89","ORDINARIO"
"49","2024-A","I5884","ALGORITMIA","92","ORDINARIO"
"49","2024-A","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","95","ORDINARIO"
"49","2024-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"49","2024-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"49","2024-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"50","2019-B","I6123","INTRODUCCION A LA FISICA","95","ORDINARIO"
"50","2019-B","I5882","PROGRAMACION","100","ORDINARIO"
"50","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","100","ORDINARIO"
"50","2019-B","I5892","MATEMATICA DISCRETA","95","ORDINARIO"
"50","2019-B","I5893","METODOS MATEMATICOS I","93","ORDINARIO"
"50","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","93","ORDINARIO"
"50","2020-A","I5886","ESTRUCTURAS DE DATOS I","86","ORDINARIO"
"50","2020-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"50","2020-A","I5895","METODOS MATEMATICOS II","100","ORDINARIO"
"50","2020-A","I5915","TEORIA DE LA COMPUTACION","100","ORDINARIO"
"50","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","93","ORDINARIO"
"50","2020-B","I5888","ESTRUCTURAS DE DATOS II","91","ORDINARIO"
"50","2020-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ORDINARIO"
"50","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","99","ORDINARIO"
"50","2020-B","I5890","BASES DE DATOS","93","ORDINARIO"
"50","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","87","ORDINARIO"
"50","2020-B","I5907","ADMINISTRACION DE REDES","100","ORDINARIO"
"50","2021-A","I5898","INGENIERIA DE SOFTWARE I","95","ORDINARIO"
"50","2021-A","I5908","ADMINISTRACION DE SERVIDORES","100","ORDINARIO"
"50","2021-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","97","ORDINARIO"
"50","2021-A","I5910","HIPERMEDIA","100","ORDINARIO"
"50","2021-A","I5884","ALGORITMIA","82","ORDINARIO"
"50","2021-B","I5900","INGENIERIA DE SOFTWARE II","98","ORDINARIO"
"50","2021-B","I5905","SEGURIDAD DE LA INFORMACION","100","ORDINARIO"
"50","2021-B","I5901","CONTROL DE PROYECTOS","90","ORDINARIO"
"50","2021-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","98","ORDINARIO"
"50","2021-B","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"50","2021-B","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"50","2022-A","I6493","PROBLEMAS SOCIOECONOMICOS Y POLITICOS DE MEXICO","100","ORDINARIO"
"50","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"50","2022-A","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"50","2022-A","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"50","2022-A","I7381","ETICA PROFESIONAL","90","ORDINARIO"
"50","2022-A","I7370","ADMINISTRACION","100","ORDINARIO"
"50","2022-B","I5911","MINERIA DE DATOS","83","ORDINARIO"
"50","2022-B","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","92","ORDINARIO"
"50","2022-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"50","2022-B","ET412","TOPICOS SELECTOS EN COMUNICACIONES","90","ORDINARIO"
"50","2023-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"50","2023-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","95","ORDINARIO"
"50","2023-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"50","2023-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"51","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","73","ORDINARIO"
"51","2019-B","I5882","PROGRAMACION","100","ORDINARIO"
"51","2019-B","I5893","METODOS MATEMATICOS I","83","ORDINARIO"
"51","2019-B","I5892","MATEMATICA DISCRETA","100","ORDINARIO"
"51","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","91","ORDINARIO"
"51","2019-B","I6123","INTRODUCCION A LA FISICA","88","ORDINARIO"
"51","2020-A","I5915","TEORIA DE LA COMPUTACION","100","ORDINARIO"
"51","2020-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","80","ORDINARIO"
"51","2020-A","I5895","METODOS MATEMATICOS II","90","ORDINARIO"
"51","2020-A","I5886","ESTRUCTURAS DE DATOS I","86","ORDINARIO"
"51","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","72","ORDINARIO"
"51","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"51","2020-B","I5907","ADMINISTRACION DE REDES","65","ORDINARIO"
"51","2020-B","I5888","ESTRUCTURAS DE DATOS II","80","ORDINARIO"
"51","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","94","ORDINARIO"
"51","2020-B","I5884","ALGORITMIA","100","ORDINARIO"
"51","2021-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","100","ORDINARIO"
"51","2021-A","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","80","ORDINARIO"
"51","2021-A","I5890","BASES DE DATOS","100","ORDINARIO"
"51","2021-B","I5901","CONTROL DE PROYECTOS","100","ORDINARIO"
"51","2021-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","100","ORDINARIO"
"51","2021-B","I5910","HIPERMEDIA","95","ORDINARIO"
"51","2021-B","I5909","PROGRAMACION PARA INTERNET","96","ORDINARIO"
"51","2021-B","I5905","SEGURIDAD DE LA INFORMACION","93","ORDINARIO"
"51","2021-B","I5898","INGENIERIA DE SOFTWARE I","90","ORDINARIO"
"51","2022-A","I5900","INGENIERIA DE SOFTWARE II","91","ORDINARIO"
"51","2022-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"51","2022-A","I5911","MINERIA DE DATOS","77","ORDINARIO"
"51","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"51","2022-A","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"51","2022-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"51","2022-B","IL351","INNOVACION Y TECNOLOGIA","99","ORDINARIO"
"51","2022-B","ET417","TOPICOS SELECTOS EN ELECTRONICA","90","ORDINARIO"
"51","2022-B","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","91","ORDINARIO"
"51","2022-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","96","ORDINARIO"
"51","2022-B","IL341","ETICA Y LEGISLACION","90","ORDINARIO"
"51","2023-A","I5908","ADMINISTRACION DE SERVIDORES","80","ORDINARIO"
"51","2023-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","90","ORDINARIO"
"51","2023-B","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"51","2023-B","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"51","2023-B","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"52","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","76","ORDINARIO"
"52","2019-B","I6123","INTRODUCCION A LA FISICA","80","ORDINARIO"
"52","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","70","ORDINARIO"
"52","2019-B","I5882","PROGRAMACION","69","ORDINARIO"
"52","2019-B","I5893","METODOS MATEMATICOS I","69","ORDINARIO"
"52","2019-B","I5892","MATEMATICA DISCRETA","75","ORDINARIO"
"52","2020-A","I5895","METODOS MATEMATICOS II","85","ORDINARIO"
"52","2020-A","I5915","TEORIA DE LA COMPUTACION","100","ORDINARIO"
"52","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","99","ORDINARIO"
"52","2020-B","I5907","ADMINISTRACION DE REDES","100","ORDINARIO"
"52","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","100","ORDINARIO"
"52","2021-A","I5910","HIPERMEDIA","88","ORDINARIO"
"52","2021-A","I5908","ADMINISTRACION DE SERVIDORES","70","ORDINARIO"
"52","2021-A","I5886","ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"52","2021-B","I5890","BASES DE DATOS","95","ORDINARIO"
"52","2021-B","I5888","ESTRUCTURAS DE DATOS II","95","ORDINARIO"
"52","2021-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"52","2021-B","I5901","CONTROL DE PROYECTOS","100","ORDINARIO"
"52","2022-A","I5909","PROGRAMACION PARA INTERNET","SD","EXTRAORDINARIO"
"52","2022-A","I5909","PROGRAMACION PARA INTERNET","34","ORDINARIO"
"52","2022-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","96","ORDINARIO"
"52","2022-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"52","2022-A","I6493","PROBLEMAS SOCIOECONOMICOS Y POLITICOS DE MEXICO","90","ORDINARIO"
"52","2022-A","I5884","ALGORITMIA","100","ORDINARIO"
"52","2022-A","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ORDINARIO"
"52","2022-B","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"52","2022-B","IL341","ETICA Y LEGISLACION","100","ORDINARIO"
"52","2022-B","I5905","SEGURIDAD DE LA INFORMACION","0","ORDINARIO"
"52","2022-B","I5905","SEGURIDAD DE LA INFORMACION","SD","EXTRAORDINARIO"
"52","2022-B","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","87","ORDINARIO"
"52","2022-B","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"52","2023-A","I5905","SEGURIDAD DE LA INFORMACION","100","ORDINARIO"
"52","2023-A","IL351","INNOVACION Y TECNOLOGIA","100","ORDINARIO"
"52","2023-A","ET412","TOPICOS SELECTOS EN COMUNICACIONES","95","ORDINARIO"
"52","2023-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","87","ORDINARIO"
"52","2023-A","I5900","INGENIERIA DE SOFTWARE II","97","ORDINARIO"
"52","2023-B","I5898","INGENIERIA DE SOFTWARE I","90","ORDINARIO"
"52","2023-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"52","2023-B","I5912","CLASIFICACION INTELIGENTE DE DATOS","100","ORDINARIO"
"52","2023-B","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","96","ORDINARIO"
"52","2024-A","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","100","ORDINARIO"
"52","2024-A","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"52","2024-A","I5911","MINERIA DE DATOS","100","ORDINARIO"
"53","2020-A","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","89","ORDINARIO"
"53","2020-A","I5882","PROGRAMACION","75","ORDINARIO"
"53","2020-A","I5893","METODOS MATEMATICOS I","91","ORDINARIO"
"53","2020-A","I5892","MATEMATICA DISCRETA","60","ORDINARIO"
"53","2020-A","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","80","ORDINARIO"
"53","2020-B","I5895","METODOS MATEMATICOS II","92","ORDINARIO"
"53","2020-B","I5915","TEORIA DE LA COMPUTACION","63","ORDINARIO"
"53","2020-B","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","100","ORDINARIO"
"53","2020-B","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","90","ORDINARIO"
"53","2020-B","I6123","INTRODUCCION A LA FISICA","86","ORDINARIO"
"53","2020-B","I5886","ESTRUCTURAS DE DATOS I","55","ORDINARIO"
"53","2021-A","I5907","ADMINISTRACION DE REDES","93","ORDINARIO"
"53","2021-A","I5888","ESTRUCTURAS DE DATOS II","SD","ORDINARIO"
"53","2021-A","I5888","ESTRUCTURAS DE DATOS II","SD","EXTRAORDINARIO"
"53","2021-A","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ORDINARIO"
"53","2021-A","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","80","ORDINARIO"
"53","2021-A","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","99","ORDINARIO"
"53","2021-A","I5886","ESTRUCTURAS DE DATOS I","SD","ORDINARIO"
"53","2021-A","I5886","ESTRUCTURAS DE DATOS I","SD","EXTRAORDINARIO"
"54","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","60","ORDINARIO"
"54","2019-B","I5892","MATEMATICA DISCRETA","71","ORDINARIO"
"54","2019-B","I5893","METODOS MATEMATICOS I","82","ORDINARIO"
"54","2019-B","I6123","INTRODUCCION A LA FISICA","76","ORDINARIO"
"54","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","83","ORDINARIO"
"54","2019-B","I5882","PROGRAMACION","80","ORDINARIO"
"54","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","70","ORDINARIO"
"54","2020-A","I5895","METODOS MATEMATICOS II","94","ORDINARIO"
"54","2020-A","I5915","TEORIA DE LA COMPUTACION","90","ORDINARIO"
"54","2020-A","I5886","ESTRUCTURAS DE DATOS I","70","ORDINARIO"
"54","2020-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","78","ORDINARIO"
"54","2020-B","I5888","ESTRUCTURAS DE DATOS II","62","ORDINARIO"
"54","2020-B","I5910","HIPERMEDIA","100","ORDINARIO"
"54","2020-B","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","90","ORDINARIO"
"54","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"54","2021-A","I5898","INGENIERIA DE SOFTWARE I","82","ORDINARIO"
"54","2021-A","I5907","ADMINISTRACION DE REDES","94","ORDINARIO"
"54","2021-A","I5890","BASES DE DATOS","87","ORDINARIO"
"54","2021-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","100","ORDINARIO"
"54","2021-A","I5908","ADMINISTRACION DE SERVIDORES","79","ORDINARIO"
"54","2021-B","I5909","PROGRAMACION PARA INTERNET","54","ORDINARIO"
"54","2021-B","I5909","PROGRAMACION PARA INTERNET","SD","EXTRAORDINARIO"
"54","2021-B","I5901","CONTROL DE PROYECTOS","100","ORDINARIO"
"54","2021-B","I5900","INGENIERIA DE SOFTWARE II","73","ORDINARIO"
"54","2021-B","I5902","ADMINISTRACION DE BASES DE DATOS","80","ORDINARIO"
"54","2021-B","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","60","ORDINARIO"
"54","2021-B","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","73","ORDINARIO"
"54","2022-A","I5905","SEGURIDAD DE LA INFORMACION","90","ORDINARIO"
"54","2022-A","I5909","PROGRAMACION PARA INTERNET","90","ORDINARIO"
"54","2022-A","I5911","MINERIA DE DATOS","82","ORDINARIO"
"54","2022-A","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"54","2022-A","I5884","ALGORITMIA","87","ORDINARIO"
"54","2022-A","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","79","ORDINARIO"
"54","2022-B","IL353","ADMINISTRACION DE PROYECTOS TECNOLOGICOS","100","ORDINARIO"
"54","2022-B","I7266","PROGRAMACION DE SISTEMAS EMBEBIDOS","93","ORDINARIO"
"54","2022-B","I5912","CLASIFICACION INTELIGENTE DE DATOS","98","ORDINARIO"
"54","2022-B","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","90","ORDINARIO"
"54","2022-B","I7023","ARQUITECTURA DE COMPUTADORAS","95","ORDINARIO"
"54","2022-B","IL351","INNOVACION Y TECNOLOGIA","94","ORDINARIO"
"54","2023-A","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","96","ORDINARIO"
"54","2023-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","92","ORDINARIO"
"54","2024-B","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"54","2024-B","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"54","2024-B","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"55","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","73","ORDINARIO"
"55","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","98","ORDINARIO"
"55","2019-B","I5892","MATEMATICA DISCRETA","78","ORDINARIO"
"55","2019-B","I5882","PROGRAMACION","94","ORDINARIO"
"55","2019-B","I5893","METODOS MATEMATICOS I","76","ORDINARIO"
"55","2019-B","I6123","INTRODUCCION A LA FISICA","74","ORDINARIO"
"55","2020-A","I5915","TEORIA DE LA COMPUTACION","70","ORDINARIO"
"55","2020-A","I7393","GESTION AMBIENTAL","70","ORDINARIO"
"55","2020-A","I5895","METODOS MATEMATICOS II","76","ORDINARIO"
"55","2020-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","73","ORDINARIO"
"55","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","75","ORDINARIO"
"55","2020-B","I5910","HIPERMEDIA","100","ORDINARIO"
