"CODIGO","CICLO","CLAVE_MATERIA","MATERIA","CALIFICACION","MODALIDAD"
"4","2021-A","I5890","BASES DE DATOS","94","ORDINARIO"
"4","2021-A","I5888","ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"4","2021-A","I5884","ALGORITMIA","95","ORDINARIO"
"4","2021-A","I5908","ADMINISTRACION DE SERVIDORES","97","ORDINARIO"
"4","2021-A","I5910","HIPERMEDIA","99","ORDINARIO"
"4","2021-B","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"4","2021-B","I7381","ETICA PROFESIONAL","100","ORDINARIO"
"4","2021-B","I5901","CONTROL DE PROYECTOS","94","ORDINARIO"
"4","2021-B","I5905","SEGURIDAD DE LA INFORMACION","100","ORDINARIO"
"4","2021-B","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","100","ORDINARIO"
"4","2021-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ORDINARIO"
"4","2022-A","I5898","INGENIERIA DE SOFTWARE I","100","ORDINARIO"
"4","2022-A","IL350","LIDERAZGO Y EMPRENDIMIENTO","97","ORDINARIO"
"4","2022-A","I5902","ADMINISTRACION DE BASES DE DATOS","100","ORDINARIO"
"4","2022-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"4","2022-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","100","ORDINARIO"
"4","2023-A","I9939","FORMACION ESPECIALIZANTE SELECTIVA","AC","INTERCAMBIO ACADÉMICO"
"4","2023-A","I5911","MINERIA DE DATOS","91","ORDINARIO"
"4","2023-A","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","96","ORDINARIO"
"4","2023-A","I5900","INGENIERIA DE SOFTWARE II","100","ORDINARIO"
"4","2023-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"4","2023-A","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","100","ORDINARIO"
"4","2023-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"4","2023-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"4","2023-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"4","2023-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"4","2023-B","I5912","CLASIFICACION INTELIGENTE DE DATOS","100","ORDINARIO"
"5","2019-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ACREDITADO"
"5","2019-B","I5905","SEGURIDAD DE LA INFORMACION","90","ACREDITADO"
"5","2019-B","I5915","TEORIA DE LA COMPUTACION","100","ACREDITADO"
"5","2019-B","I5882","PROGRAMACION","99","ACREDITADO"
"5","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","100","ACREDITADO"
"5","2019-B","I5884","ALGORITMIA","69","ACREDITADO"
"8","2019-B","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","72","ACREDITADO"
"8","2019-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","95","ACREDITADO"
"8","2019-B","I5898","INGENIERIA DE SOFTWARE I","98","ACREDITADO"
"8","2019-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","98","ACREDITADO"
"8","2019-B","I5915","TEORIA DE LA COMPUTACION","100","ACREDITADO"
"8","2019-B","I9939","FORMACION ESPECIALIZANTE SELECTIVA","AC","ACREDITADO"
"8","2019-B","I5902","ADMINISTRACION DE BASES DE DATOS","97","ORDINARIO"
"8","2019-B","I7340","INTRODUCCION A LA INGENIERIA INDUSTRIAL","90","ORDINARIO"
"8","2019-B","I5909","PROGRAMACION PARA INTERNET","100","ORDINARIO"
"8","2019-B","I6184","COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES","100","ORDINARIO"
"8","2019-B","I7391","DISEÑO ASISTIDO POR COMPUTADORA","98","ORDINARIO"
"8","2019-B","CC420","TOPICOS SELECTOS DE INFORMATICA I","100","ORDINARIO"
"8","2019-B","I5910","HIPERMEDIA","97","ORDINARIO"
"8","2019-B","I5882","PROGRAMACION","90","ACREDITADO"
"8","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","93","ACREDITADO"
"8","2019-B","I5884","ALGORITMIA","96","ACREDITADO"
"8","2019-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","100","ACREDITADO"
"8","2019-B","I5886","ESTRUCTURAS DE DATOS I","83","ACREDITADO"
"8","2019-B","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","100","ACREDITADO"
"8","2020-A","I5901","CONTROL DE PROYECTOS","100","ORDINARIO"
"8","2020-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","99","ORDINARIO"
"8","2020-A","I5908","ADMINISTRACION DE SERVIDORES","97","ORDINARIO"
"8","2020-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","97","ORDINARIO"
"8","2020-A","I5907","ADMINISTRACION DE REDES","100","ORDINARIO"
"8","2020-B","I5905","SEGURIDAD DE LA INFORMACION","100","ORDINARIO"
"8","2020-B","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","98","ORDINARIO"
"8","2020-B","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"8","2020-B","I5900","INGENIERIA DE SOFTWARE II","97","ORDINARIO"
"8","2021-A","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","100","ORDINARIO"
"8","2021-A","I5911","MINERIA DE DATOS","94","ORDINARIO"
"8","2021-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","100","ORDINARIO"
"8","2022-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"8","2022-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"8","2022-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"9","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","45","ORDINARIO"
"9","2019-B","I5882","PROGRAMACION","60","ORDINARIO"
"9","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","65","ORDINARIO"
"9","2019-B","I5893","METODOS MATEMATICOS I","SD","EXTRAORDINARIO"
"9","2019-B","I5892","MATEMATICA DISCRETA","0","EXTRAORDINARIO"
"9","2019-B","I5893","METODOS MATEMATICOS I","SD","ORDINARIO"
"9","2019-B","I5892","MATEMATICA DISCRETA","44","ORDINARIO"
"10","2019-B","I5882","PROGRAMACION","85","ORDINARIO"
"10","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","92","ORDINARIO"
"10","2019-B","I5892","MATEMATICA DISCRETA","90","ORDINARIO"
"10","2019-B","I5893","METODOS MATEMATICOS I","65","ORDINARIO"
"10","2019-B","I6123","INTRODUCCION A LA FISICA","60","ORDINARIO"
"10","2020-A","I5915","TEORIA DE LA COMPUTACION","90","ORDINARIO"
"10","2020-A","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","80","ORDINARIO"
"10","2020-A","I5895","METODOS MATEMATICOS II","62","ORDINARIO"
"10","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","60","ORDINARIO"
"10","2020-A","I5886","ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"10","2020-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","75","ORDINARIO"
"10","2020-B","I5890","BASES DE DATOS","97","ORDINARIO"
"10","2020-B","I5908","ADMINISTRACION DE SERVIDORES","65","ORDINARIO"
"10","2020-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","78","ORDINARIO"
"10","2020-B","I5910","HIPERMEDIA","99","ORDINARIO"
"10","2020-B","I5909","PROGRAMACION PARA INTERNET","95","ORDINARIO"
"10","2020-B","I5888","ESTRUCTURAS DE DATOS II","95","ORDINARIO"
"10","2021-A","I5884","ALGORITMIA","80","ORDINARIO"
"10","2021-A","I5907","ADMINISTRACION DE REDES","90","ORDINARIO"
"10","2021-A","I5900","INGENIERIA DE SOFTWARE II","SD","EXTRAORDINARIO"
"10","2021-A","I5900","INGENIERIA DE SOFTWARE II","SD","ORDINARIO"
"10","2021-A","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","SD","ORDINARIO"
"10","2021-A","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","95","ORDINARIO"
"10","2021-A","I5901","CONTROL DE PROYECTOS","88","ORDINARIO"
"10","2021-A","I5898","INGENIERIA DE SOFTWARE I","83","ORDINARIO"
"10","2021-B","I5905","SEGURIDAD DE LA INFORMACION","SD","EXTRAORDINARIO"
"10","2021-B","I5905","SEGURIDAD DE LA INFORMACION","SD","ORDINARIO"
"10","2021-B","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","85","ORDINARIO"
"10","2021-B","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","85","ORDINARIO"
"10","2021-B","I5900","INGENIERIA DE SOFTWARE II","84","ORDINARIO"
"10","2021-B","I7418","TALLER DE EXPRESION ORAL Y ESCRITA","95","ORDINARIO"
"10","2021-B","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","SD","ORDINARIO"
"10","2021-B","I5902","ADMINISTRACION DE BASES DE DATOS","78","ORDINARIO"
"10","2022-A","I5913","SISTEMAS BASADOS EN CONOCIMIENTO","69","ORDINARIO"
"10","2022-A","I5905","SEGURIDAD DE LA INFORMACION","96","ORDINARIO"
"10","2022-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","50","ORDINARIO"
"10","2022-A","I5912","CLASIFICACION INTELIGENTE DE DATOS","50","EXTRAORDINARIO"
"10","2022-A","I5906","ALMACENES DE DATOS (DATA WAREHOUSE)","95","ORDINARIO"
"10","2022-A","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","66","ORDINARIO"
"10","2022-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","83","ORDINARIO"
"10","2022-A","I6493","PROBLEMAS SOCIOECONOMICOS Y POLITICOS DE MEXICO","100","ORDINARIO"
"10","2022-B","I5914","SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO","84","ORDINARIO"
"10","2022-B","I5912","CLASIFICACION INTELIGENTE DE DATOS","64","ORDINARIO"
"10","2022-B","I5911","MINERIA DE DATOS","65","ORDINARIO"
"10","2022-B","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","73","ORDINARIO"
"10","2023-A","I5918","COMPUTO FLEXIBLE (SOFTCOMPUTING)","AC","ORDINARIO"
"10","2023-A","IL341","ETICA Y LEGISLACION","75","ORDINARIO"
"10","2023-A","ET417","TOPICOS SELECTOS EN ELECTRONICA","90","ORDINARIO"
"10","2023-A","I5916","PROYECTO DE GESTION DE LA TECNOLOGIA DE INFORMACION","AC","ORDINARIO"
"10","2023-A","I5917","PROYECTO DE SISTEMAS ROBUSTOS, PARALELOS Y DISTRIBUIDOS","AC","ORDINARIO"
"11","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","SD","ORDINARIO"
"11","2019-B","I5892","MATEMATICA DISCRETA","58","ORDINARIO"
"11","2019-B","I5892","MATEMATICA DISCRETA","55","EXTRAORDINARIO"
"11","2019-B","I5882","PROGRAMACION","84","ORDINARIO"
"11","2019-B","I5893","METODOS MATEMATICOS I","74","ORDINARIO"
"11","2019-B","I6123","INTRODUCCION A LA FISICA","SD","EXTRAORDINARIO"
"11","2019-B","I6123","INTRODUCCION A LA FISICA","SD","ORDINARIO"
"11","2020-A","I5892","MATEMATICA DISCRETA","60","ORDINARIO"
"12","2019-B","I5893","METODOS MATEMATICOS I","SD","EXTRAORDINARIO"
"12","2019-B","I5893","METODOS MATEMATICOS I","SD","ORDINARIO"
"12","2019-B","I5892","MATEMATICA DISCRETA","SD","EXTRAORDINARIO"
"12","2019-B","I5892","MATEMATICA DISCRETA","SD","ORDINARIO"
"12","2019-B","I5882","PROGRAMACION","SD","ORDINARIO"
"12","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","SD","ORDINARIO"
"12","2019-B","I5882","PROGRAMACION","SD","EXTRAORDINARIO"
"12","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","SD","ORDINARIO"
"12","2020-A","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","60","ORDINARIO"
"12","2021-A","I5882","PROGRAMACION","SD","ORDINARIO"
"12","2021-A","I5882","PROGRAMACION","SD","EXTRAORDINARIO"
"12","2021-A","I5893","METODOS MATEMATICOS I","SD","ORDINARIO"
"12","2021-A","I5893","METODOS MATEMATICOS I","SD","EXTRAORDINARIO"
"12","2021-A","I5892","MATEMATICA DISCRETA","90","ORDINARIO"
"12","2021-A","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","SD","ORDINARIO"
"13","2019-B","I5883","SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION","94","ORDINARIO"
"13","2019-B","I5897","ESTADISTICA Y PROCESOS ESTOCASTICOS","90","ACREDITADO"
"13","2019-B","I5894","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I","77","ORDINARIO"
"13","2019-B","I5895","METODOS MATEMATICOS II","90","ACREDITADO"
"13","2019-B","I5893","METODOS MATEMATICOS I","86","ACREDITADO"
"13","2019-B","I6123","INTRODUCCION A LA FISICA","80","ORDINARIO"
"13","2019-B","I5892","MATEMATICA DISCRETA","75","ORDINARIO"
"13","2019-B","I5882","PROGRAMACION","82","ORDINARIO"
"13","2020-A","I5896","SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II","60","ORDINARIO"
"13","2020-B","I5885","SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA","99","ORDINARIO"
"13","2020-B","I5887","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I","99","ORDINARIO"
"13","2020-B","I5910","HIPERMEDIA","94","ORDINARIO"
"13","2020-B","I5886","ESTRUCTURAS DE DATOS I","100","ORDINARIO"
"13","2020-B","I5907","ADMINISTRACION DE REDES","100","ORDINARIO"
"13","2021-A","I5915","TEORIA DE LA COMPUTACION","85","ORDINARIO"
"13","2021-A","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","SD","ORDINARIO"
"13","2021-A","I5908","ADMINISTRACION DE SERVIDORES","61","ORDINARIO"
"13","2021-A","I5888","ESTRUCTURAS DE DATOS II","78","ORDINARIO"
"13","2021-A","I5884","ALGORITMIA","91","ORDINARIO"
"13","2021-B","I5909","PROGRAMACION PARA INTERNET","99","ORDINARIO"
"13","2021-B","I7587","CIRCUITOS ELECTRICOS","95","ORDINARIO"
"13","2021-B","I5889","SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II","100","ORDINARIO"
"13","2021-B","ET414","TOPICOS SELECTOS EN SISTEMAS DIGITALES","100","ORDINARIO"
"13","2022-B","I5905","SEGURIDAD DE LA INFORMACION","97","ORDINARIO"
"13","2022-B","I7042","SIMULACION POR COMPUTADORA","100","ORDINARIO"
"13","2022-B","I5891","SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS","100","ORDINARIO"
"13","2022-B","I5898","INGENIERIA DE SOFTWARE I","90","ORDINARIO"
"13","2022-B","I5911","MINERIA DE DATOS","83","ORDINARIO"
"13","2022-B","I5901","CONTROL DE PROYECTOS","94","ORDINARIO"
"13","2022-B","I5890","BASES DE DATOS","94","ORDINARIO"
"13","2023-A","I5903","USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS","90","ORDINARIO"
"13","2023-A","I5899","SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I","95","ORDINARIO"
"13","2023-A","IL342","INTRODUCCION A LA INGENIERIA","100","ORDINARIO"
"13","2023-A","I5900","INGENIERIA DE SOFTWARE II","97","ORDINARIO"
"13","2023-A","I5902","ADMINISTRACION DE BASES DE DATOS","93","ORDINARIO"
"13","2023-A","I5904","SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS","85","ORDINARIO"
"13","2023-B","I5912","CLASIFICACION INTELIGENTE DE DATOS","77","ORDINARIO"
